source_target;reductor_classifier;accuracy;precision;recall
svhn_svhn;pca_svm;70.4;0.71;0.7
svhn_mnistm;pca_svm;21.4;0.27;0.21
svhn_synth;pca_svm;72.6;0.74;0.73
mnistm_svhn;pca_svm;22.6;0.25;0.23
mnistm_mnistm;pca_svm;77.8;0.79;0.78
mnistm_synth;pca_svm;29.7;0.38;0.3
synth_svhn;pca_svm;48.6;0.57;0.49
synth_mnistm;pca_svm;17.8;0.33;0.18
synth_synth;pca_svm;93.6;0.94;0.94
svhn_svhn;lda_svm;64.9;0.65;0.65
svhn_mnistm;lda_svm;18.3;0.19;0.18
svhn_synth;lda_svm;63.4;0.66;0.64
mnistm_svhn;lda_svm;16.8;0.18;0.17
mnistm_mnistm;lda_svm;71.8;0.73;0.72
mnistm_synth;lda_svm;21.3;0.23;0.21
synth_svhn;lda_svm;47.1;0.52;0.47
synth_mnistm;lda_svm;19.7;0.2;0.2
synth_synth;lda_svm;95.4;0.95;0.95
svhn_svhn;pca_knn;43.5;0.46;0.43
svhn_mnistm;pca_knn;15.9;0.15;0.16
svhn_synth;pca_knn;39.5;0.48;0.4
mnistm_svhn;pca_knn;17.4;0.21;0.17
mnistm_mnistm;pca_knn;42.5;0.43;0.43
mnistm_synth;pca_knn;21.2;0.24;0.21
synth_svhn;pca_knn;34.6;0.41;0.35
synth_mnistm;pca_knn;14.7;0.18;0.15
synth_synth;pca_knn;77.2;0.78;0.77
svhn_svhn;lda_knn;69.6;0.7;0.7
svhn_mnistm;lda_knn;17.8;0.18;0.18
svhn_synth;lda_knn;65.6;0.67;0.66
mnistm_svhn;lda_knn;18.3;0.19;0.19
mnistm_mnistm;lda_knn;73.2;0.74;0.73
mnistm_synth;lda_knn;21.4;0.22;0.21
synth_svhn;lda_knn;46.8;0.5;0.47
synth_mnistm;lda_knn;19.5;0.2;0.19
synth_synth;lda_knn;95.5;0.96;0.96
