source_target;reductor_classifier;accuracy;precision;recall
svhn_svhn;pca_svm;84.6;0.85;0.85
svhn_mnistm;pca_svm;44.2;0.5;0.44
svhn_synth;pca_svm;80.0;0.81;0.8
mnistm_svhn;pca_svm;42.3;0.45;0.43
mnistm_mnistm;pca_svm;92.4;0.92;0.93
mnistm_synth;pca_svm;52.2;0.54;0.52
synth_svhn;pca_svm;71.6;0.74;0.72
synth_mnistm;pca_svm;37.4;0.55;0.37
synth_synth;pca_svm;95.5;0.95;0.95
svhn_svhn;lda_svm;31.7;0.43;0.32
svhn_mnistm;lda_svm;9.8;0.16;0.11
svhn_synth;lda_svm;14.0;0.22;0.13
mnistm_svhn;lda_svm;14.5;0.19;0.15
mnistm_mnistm;lda_svm;30.7;0.52;0.32
mnistm_synth;lda_svm;14.4;0.2;0.14
synth_svhn;lda_svm;13.2;0.33;0.13
synth_mnistm;lda_svm;9.1;0.11;0.1
synth_synth;lda_svm;62.7;0.74;0.63
svhn_svhn;pca_knn;70.6;0.75;0.71
svhn_mnistm;pca_knn;34.9;0.36;0.36
svhn_synth;pca_knn;75.0;0.77;0.75
mnistm_svhn;pca_knn;24.6;0.33;0.25
mnistm_mnistm;pca_knn;76.2;0.79;0.77
mnistm_synth;pca_knn;36.5;0.47;0.37
synth_svhn;pca_knn;65.8;0.73;0.66
synth_mnistm;pca_knn;37.1;0.39;0.37
synth_synth;pca_knn;91.3;0.92;0.91
svhn_svhn;lda_knn;38.8;0.44;0.39
svhn_mnistm;lda_knn;15.9;0.16;0.16
svhn_synth;lda_knn;23.8;0.24;0.23
mnistm_svhn;lda_knn;18.3;0.19;0.18
mnistm_mnistm;lda_knn;42.1;0.52;0.43
mnistm_synth;lda_knn;16.9;0.18;0.17
synth_svhn;lda_knn;29.0;0.4;0.28
synth_mnistm;lda_knn;19.3;0.18;0.19
synth_synth;lda_knn;69.7;0.73;0.7
